               SKB    CPU          PROCESS                     FUNC        TIMESTAMP
0xffff9f5f0ac5d000      3           [ping]                  raw_rcv    1026590394407 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5d000      3           [ping]                 skb_push    1026590401938 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5d000      3           [ping]     ipv4_pktinfo_prepare    1026590411770 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5d000      3           [ping]       sock_queue_rcv_skb    1026590420307 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5d000      3           [ping]       sk_filter_trim_cap    1026590427413 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5d000      3           [ping] __cgroup_bpf_run_filter_skb    1026590434612 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5d000      3           [ping]    security_sock_rcv_skb    1026590444423 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5d000      3           [ping] apparmor_socket_sock_rcv_skb    1026590452126 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5d000      3           [ping]     __sock_queue_rcv_skb    1026590461061 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]                 icmp_rcv    1026590468844 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]  __skb_checksum_complete    1026590475797 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]                 ping_rcv    1026590483378 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]                 skb_push    1026590490226 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]         kfree_skb_reason    1026590497944 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]   skb_release_head_state    1026590504747 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]         skb_release_data    1026590511474 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5da00      3           [ping]             kfree_skbmem    1026590518818 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5d000      3           [ping] __sock_recv_ts_and_drops    1026590544460 10.10.0.20:0->10.10.0.10:0(icmp)
0xffff9f5f0ac5d000      3           [ping]    __sock_recv_timestamp    1026590554488 10.10.0.20:0->10.10.0.10:0(icmp)
